disability_category,accommodation_type,functional_limitation,cost_tier,employer_size,industry,employee_tenure_years,days_to_implement,prior_requests,outcome_positive
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Small (<50),Technology,3.0,65,0,1
Neurological,Flexible Scheduling,Dexterity,$1–$500,Small (<50),Healthcare,5.1,12,0,1
Musculoskeletal,Remote Work / Telework,Mobility,$1–$500,Mid-size (50–499),Healthcare,2.2,4,1,1
Musculoskeletal,Physical Modification,Vision,$0 (No Cost),Mid-size (50–499),Healthcare,5.6,17,0,1
Chronic Illness,Remote Work / Telework,Mobility,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,4.5,43,0,0
Chronic Illness,Remote Work / Telework,Mobility,"$501–$2,000",Large (500+),Healthcare,1.4,24,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,0.5,34,0,1
Musculoskeletal,Leave of Absence,Communication,$0 (No Cost),Small (<50),Healthcare,4.5,9,0,0
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Finance/Insurance,4.1,20,1,1
Neurological,Assistive Technology,Dexterity,"$501–$2,000",Large (500+),Government/Public Sector,0.9,25,0,1
Sensory (Vision/Hearing),Ergonomic Equipment,Communication,$1–$500,Mid-size (50–499),Finance/Insurance,0.6,6,0,1
Psychiatric,Assistive Technology,Mobility,"$501–$2,000",Small (<50),Education,1.6,25,0,1
Musculoskeletal,Policy Change / Exemption,Mobility,$1–$500,Large (500+),Finance/Insurance,4.3,18,2,1
Cognitive,Leave of Absence,Mobility,$0 (No Cost),Large (500+),Education,0.9,130,1,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Mid-size (50–499),Finance/Insurance,6.5,24,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,$0 (No Cost),Small (<50),Manufacturing,6.9,68,0,1
Sensory (Vision/Hearing),Physical Modification,Hearing,$1–$500,Small (<50),Education,1.1,34,3,1
Psychiatric,Ergonomic Equipment,Mobility,$1–$500,Mid-size (50–499),Healthcare,0.5,22,2,0
Psychiatric,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,0.8,61,1,0
Psychiatric,Flexible Scheduling,Mobility,"$501–$2,000",Mid-size (50–499),Technology,16.4,8,2,1
Cognitive,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.0,16,0,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,0.8,45,0,1
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Large (500+),Technology,0.5,2,1,0
Psychiatric,Assistive Technology,Mobility,"$501–$2,000",Mid-size (50–499),Healthcare,0.5,23,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,"$501–$2,000",Large (500+),Finance/Insurance,0.5,23,0,0
Sensory (Vision/Hearing),Policy Change / Exemption,Stamina/Endurance,$1–$500,Mid-size (50–499),Education,15.5,29,1,1
Psychiatric,Physical Modification,Hearing,"$2,001+",Mid-size (50–499),Retail/Hospitality,0.5,20,1,0
Neurological,Physical Modification,Hearing,"$501–$2,000",Mid-size (50–499),Healthcare,3.1,44,1,1
Neurological,Leave of Absence,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Technology,0.5,12,1,1
Chronic Illness,Policy Change / Exemption,Dexterity,"$501–$2,000",Large (500+),Finance/Insurance,3.8,48,0,0
Psychiatric,Policy Change / Exemption,Dexterity,$0 (No Cost),Mid-size (50–499),Education,0.7,9,4,0
Chronic Illness,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,8.7,31,2,1
Neurological,Assistive Technology,Dexterity,$1–$500,Mid-size (50–499),Retail/Hospitality,11.4,56,3,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,6.2,11,0,1
Chronic Illness,Policy Change / Exemption,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,4.2,14,2,1
Chronic Illness,Physical Modification,Hearing,$1–$500,Large (500+),Education,5.4,49,1,1
Musculoskeletal,Assistive Technology,Concentration/Focus,"$2,001+",Mid-size (50–499),Retail/Hospitality,3.4,27,2,0
Cognitive,Flexible Scheduling,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,2.0,4,1,1
Musculoskeletal,Remote Work / Telework,Hearing,"$2,001+",Mid-size (50–499),Retail/Hospitality,0.5,28,1,1
Neurological,Physical Modification,Mobility,$0 (No Cost),Small (<50),Retail/Hospitality,5.9,39,1,1
Cognitive,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,4.7,51,1,1
Musculoskeletal,Flexible Scheduling,Hearing,$0 (No Cost),Mid-size (50–499),Healthcare,1.2,30,1,1
Chronic Illness,Policy Change / Exemption,Hearing,$1–$500,Mid-size (50–499),Retail/Hospitality,3.1,35,0,1
Musculoskeletal,Leave of Absence,Concentration/Focus,$1–$500,Large (500+),Technology,0.5,72,0,0
Chronic Illness,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Education,2.8,46,1,1
Neurological,Remote Work / Telework,Dexterity,$1–$500,Large (500+),Education,1.9,19,1,1
Psychiatric,Ergonomic Equipment,Mobility,$0 (No Cost),Mid-size (50–499),Finance/Insurance,0.5,21,1,1
Musculoskeletal,Physical Modification,Mobility,$0 (No Cost),Mid-size (50–499),Technology,0.5,55,1,1
Musculoskeletal,Physical Modification,Concentration/Focus,"$501–$2,000",Large (500+),Retail/Hospitality,1.6,30,1,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,8.9,26,1,1
Psychiatric,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Finance/Insurance,13.0,19,2,0
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$1–$500,Mid-size (50–499),Retail/Hospitality,18.1,53,1,1
Psychiatric,Leave of Absence,Stamina/Endurance,"$2,001+",Large (500+),Finance/Insurance,5.8,12,1,0
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Small (<50),Education,5.3,16,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,1.1,53,1,1
Sensory (Vision/Hearing),Leave of Absence,Mobility,$0 (No Cost),Small (<50),Education,0.5,53,0,1
Sensory (Vision/Hearing),Ergonomic Equipment,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,8.6,103,1,1
Musculoskeletal,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Retail/Hospitality,19.4,23,0,1
Cognitive,Assistive Technology,Mobility,$1–$500,Mid-size (50–499),Education,2.6,19,1,1
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,2.3,21,0,0
Psychiatric,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,2.0,5,0,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$1–$500,Large (500+),Healthcare,1.0,3,2,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,"$2,001+",Mid-size (50–499),Finance/Insurance,3.6,30,1,1
Psychiatric,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Finance/Insurance,9.7,18,1,1
Neurological,Physical Modification,Hearing,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.8,13,0,1
Cognitive,Policy Change / Exemption,Dexterity,$0 (No Cost),Large (500+),Technology,0.5,26,0,1
Psychiatric,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Small (<50),Government/Public Sector,5.9,31,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Education,5.9,22,1,0
Cognitive,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,10.8,22,2,1
Neurological,Flexible Scheduling,Concentration/Focus,$1–$500,Small (<50),Education,14.6,18,0,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Education,8.4,41,0,1
Cognitive,Remote Work / Telework,Communication,$0 (No Cost),Small (<50),Manufacturing,2.0,16,1,0
Chronic Illness,Flexible Scheduling,Communication,$0 (No Cost),Mid-size (50–499),Technology,1.5,10,1,1
Neurological,Leave of Absence,Mobility,"$501–$2,000",Small (<50),Government/Public Sector,1.4,17,1,1
Sensory (Vision/Hearing),Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Education,0.8,29,0,1
Musculoskeletal,Policy Change / Exemption,Vision,$0 (No Cost),Large (500+),Retail/Hospitality,2.4,43,0,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,8.1,82,1,1
Neurological,Flexible Scheduling,Stamina/Endurance,$1–$500,Large (500+),Manufacturing,3.4,26,2,1
Musculoskeletal,Remote Work / Telework,Communication,"$501–$2,000",Mid-size (50–499),Healthcare,0.8,68,1,0
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Technology,0.5,14,0,1
Chronic Illness,Remote Work / Telework,Dexterity,$0 (No Cost),Mid-size (50–499),Government/Public Sector,1.1,12,2,1
Psychiatric,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Education,5.9,34,1,1
Neurological,Flexible Scheduling,Mobility,$1–$500,Small (<50),Finance/Insurance,2.7,38,2,1
Psychiatric,Flexible Scheduling,Mobility,"$2,001+",Large (500+),Manufacturing,1.2,28,2,0
Chronic Illness,Assistive Technology,Hearing,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.5,131,0,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,$0 (No Cost),Large (500+),Retail/Hospitality,0.5,15,1,0
Neurological,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Healthcare,10.4,60,0,1
Neurological,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Manufacturing,1.3,13,0,1
Musculoskeletal,Leave of Absence,Communication,$0 (No Cost),Small (<50),Healthcare,0.6,40,1,1
Sensory (Vision/Hearing),Flexible Scheduling,Communication,$0 (No Cost),Large (500+),Manufacturing,6.5,25,1,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$0 (No Cost),Mid-size (50–499),Education,2.4,30,0,1
Neurological,Physical Modification,Communication,$1–$500,Small (<50),Finance/Insurance,8.3,34,1,1
Sensory (Vision/Hearing),Policy Change / Exemption,Stamina/Endurance,$1–$500,Small (<50),Government/Public Sector,0.6,26,1,1
Cognitive,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Healthcare,9.5,22,1,1
Musculoskeletal,Assistive Technology,Dexterity,"$501–$2,000",Large (500+),Retail/Hospitality,0.5,4,1,1
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Finance/Insurance,0.6,47,1,1
Psychiatric,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,0.5,8,0,1
Chronic Illness,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Large (500+),Manufacturing,5.0,18,1,1
Neurological,Leave of Absence,Stamina/Endurance,"$501–$2,000",Large (500+),Finance/Insurance,1.0,31,1,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$1–$500,Mid-size (50–499),Education,17.8,9,3,1
Psychiatric,Leave of Absence,Hearing,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.5,22,0,0
Chronic Illness,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Retail/Hospitality,3.7,44,1,1
Musculoskeletal,Policy Change / Exemption,Dexterity,$1–$500,Small (<50),Manufacturing,10.5,18,0,1
Sensory (Vision/Hearing),Leave of Absence,Dexterity,$1–$500,Mid-size (50–499),Healthcare,0.8,23,0,0
Psychiatric,Flexible Scheduling,Mobility,$1–$500,Small (<50),Healthcare,1.5,11,0,0
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Healthcare,7.1,19,0,1
Psychiatric,Flexible Scheduling,Communication,"$501–$2,000",Large (500+),Technology,11.4,8,0,1
Psychiatric,Policy Change / Exemption,Mobility,$1–$500,Mid-size (50–499),Government/Public Sector,3.0,29,1,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Large (500+),Government/Public Sector,2.3,6,1,1
Cognitive,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Healthcare,5.2,15,0,1
Psychiatric,Assistive Technology,Stamina/Endurance,"$501–$2,000",Small (<50),Manufacturing,3.4,26,1,1
Musculoskeletal,Leave of Absence,Mobility,"$2,001+",Mid-size (50–499),Government/Public Sector,0.9,21,0,1
Sensory (Vision/Hearing),Assistive Technology,Dexterity,$1–$500,Small (<50),Finance/Insurance,8.8,33,2,1
Chronic Illness,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,23,1,1
Musculoskeletal,Ergonomic Equipment,Dexterity,$0 (No Cost),Small (<50),Government/Public Sector,1.0,4,1,1
Neurological,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Small (<50),Healthcare,4.9,9,2,1
Sensory (Vision/Hearing),Leave of Absence,Communication,$1–$500,Small (<50),Healthcare,3.0,25,1,0
Sensory (Vision/Hearing),Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Technology,3.2,52,0,1
Chronic Illness,Assistive Technology,Stamina/Endurance,$0 (No Cost),Small (<50),Retail/Hospitality,0.6,46,1,1
Neurological,Policy Change / Exemption,Mobility,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,9.2,129,1,1
Psychiatric,Physical Modification,Hearing,"$501–$2,000",Mid-size (50–499),Manufacturing,1.3,16,1,1
Cognitive,Physical Modification,Mobility,"$2,001+",Mid-size (50–499),Technology,5.2,43,1,0
Chronic Illness,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,40,1,1
Chronic Illness,Remote Work / Telework,Mobility,$1–$500,Small (<50),Finance/Insurance,3.1,70,0,0
Psychiatric,Remote Work / Telework,Stamina/Endurance,"$501–$2,000",Mid-size (50–499),Education,3.6,58,0,0
Psychiatric,Assistive Technology,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,14.2,30,1,1
Sensory (Vision/Hearing),Assistive Technology,Mobility,$0 (No Cost),Large (500+),Retail/Hospitality,8.5,38,2,1
Psychiatric,Remote Work / Telework,Mobility,"$2,001+",Mid-size (50–499),Manufacturing,19.1,33,0,1
Cognitive,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,1.3,24,1,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Retail/Hospitality,8.0,36,2,1
Sensory (Vision/Hearing),Remote Work / Telework,Hearing,$1–$500,Small (<50),Manufacturing,1.9,28,1,1
Chronic Illness,Flexible Scheduling,Communication,$1–$500,Mid-size (50–499),Manufacturing,0.8,27,2,1
Musculoskeletal,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Small (<50),Finance/Insurance,8.4,72,4,1
Musculoskeletal,Physical Modification,Hearing,$1–$500,Mid-size (50–499),Government/Public Sector,4.8,31,1,1
Neurological,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,9.6,26,1,1
Neurological,Physical Modification,Communication,"$501–$2,000",Small (<50),Retail/Hospitality,1.5,22,1,1
Musculoskeletal,Policy Change / Exemption,Dexterity,$0 (No Cost),Small (<50),Retail/Hospitality,3.6,20,0,1
Neurological,Remote Work / Telework,Vision,$1–$500,Mid-size (50–499),Manufacturing,3.9,9,0,1
Cognitive,Flexible Scheduling,Dexterity,$1–$500,Mid-size (50–499),Healthcare,1.5,24,1,1
Musculoskeletal,Flexible Scheduling,Communication,$0 (No Cost),Large (500+),Education,9.2,54,0,1
Psychiatric,Flexible Scheduling,Hearing,$0 (No Cost),Large (500+),Healthcare,0.9,16,0,1
Musculoskeletal,Leave of Absence,Concentration/Focus,$1–$500,Large (500+),Retail/Hospitality,7.4,2,0,1
Musculoskeletal,Ergonomic Equipment,Hearing,$0 (No Cost),Mid-size (50–499),Technology,15.0,35,2,1
Psychiatric,Flexible Scheduling,Vision,$0 (No Cost),Small (<50),Manufacturing,1.2,29,0,1
Psychiatric,Leave of Absence,Hearing,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,1.7,71,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,"$2,001+",Mid-size (50–499),Manufacturing,3.3,14,0,1
Musculoskeletal,Physical Modification,Concentration/Focus,$1–$500,Mid-size (50–499),Finance/Insurance,19.5,8,0,1
Cognitive,Leave of Absence,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Retail/Hospitality,0.5,21,0,0
Psychiatric,Remote Work / Telework,Communication,"$2,001+",Small (<50),Retail/Hospitality,1.3,18,0,0
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Finance/Insurance,3.6,5,0,1
Sensory (Vision/Hearing),Physical Modification,Hearing,$0 (No Cost),Small (<50),Healthcare,0.5,26,1,1
Chronic Illness,Ergonomic Equipment,Stamina/Endurance,$0 (No Cost),Small (<50),Manufacturing,8.1,17,1,1
Musculoskeletal,Remote Work / Telework,Mobility,$0 (No Cost),Large (500+),Manufacturing,0.9,63,1,1
Psychiatric,Flexible Scheduling,Communication,$0 (No Cost),Small (<50),Finance/Insurance,0.5,27,4,0
Psychiatric,Flexible Scheduling,Concentration/Focus,$1–$500,Mid-size (50–499),Technology,1.5,13,2,0
Neurological,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,9.4,24,0,1
Musculoskeletal,Physical Modification,Concentration/Focus,$1–$500,Mid-size (50–499),Retail/Hospitality,0.9,28,1,0
Musculoskeletal,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,37,1,1
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Large (500+),Manufacturing,2.0,25,1,1
Neurological,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Government/Public Sector,8.8,91,1,1
Cognitive,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Technology,1.2,8,1,1
Sensory (Vision/Hearing),Remote Work / Telework,Stamina/Endurance,$1–$500,Large (500+),Government/Public Sector,6.9,17,0,1
Neurological,Assistive Technology,Dexterity,$0 (No Cost),Large (500+),Healthcare,6.7,13,0,1
Psychiatric,Remote Work / Telework,Vision,$0 (No Cost),Large (500+),Finance/Insurance,1.6,19,0,1
Musculoskeletal,Remote Work / Telework,Stamina/Endurance,$0 (No Cost),Large (500+),Government/Public Sector,3.0,31,1,0
Musculoskeletal,Policy Change / Exemption,Dexterity,"$501–$2,000",Mid-size (50–499),Finance/Insurance,1.5,29,0,1
Chronic Illness,Physical Modification,Communication,$0 (No Cost),Large (500+),Finance/Insurance,1.3,37,1,1
Chronic Illness,Ergonomic Equipment,Communication,$1–$500,Mid-size (50–499),Retail/Hospitality,4.0,27,0,0
Cognitive,Remote Work / Telework,Vision,$0 (No Cost),Mid-size (50–499),Manufacturing,15.2,28,1,1
Cognitive,Assistive Technology,Communication,$0 (No Cost),Large (500+),Education,2.2,27,2,1
Cognitive,Assistive Technology,Communication,$1–$500,Large (500+),Healthcare,17.9,17,2,1
Cognitive,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,2.6,16,1,1
Psychiatric,Remote Work / Telework,Communication,$0 (No Cost),Mid-size (50–499),Technology,4.5,13,1,1
Psychiatric,Assistive Technology,Stamina/Endurance,"$2,001+",Mid-size (50–499),Government/Public Sector,2.3,38,0,1
Musculoskeletal,Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Education,0.8,3,1,1
Neurological,Policy Change / Exemption,Communication,$0 (No Cost),Mid-size (50–499),Healthcare,0.5,27,1,1
Psychiatric,Flexible Scheduling,Mobility,$0 (No Cost),Large (500+),Education,11.2,43,0,1
Chronic Illness,Flexible Scheduling,Vision,$0 (No Cost),Large (500+),Government/Public Sector,1.7,51,0,0
Neurological,Leave of Absence,Mobility,$1–$500,Mid-size (50–499),Finance/Insurance,13.5,2,1,1
Neurological,Flexible Scheduling,Hearing,$0 (No Cost),Mid-size (50–499),Technology,2.6,18,0,0
Psychiatric,Policy Change / Exemption,Mobility,"$2,001+",Mid-size (50–499),Education,0.5,13,0,0
Musculoskeletal,Leave of Absence,Stamina/Endurance,$1–$500,Small (<50),Manufacturing,3.5,17,1,0
Psychiatric,Flexible Scheduling,Communication,"$2,001+",Small (<50),Government/Public Sector,9.9,59,2,0
Chronic Illness,Physical Modification,Vision,"$501–$2,000",Large (500+),Education,4.6,13,1,1
Neurological,Physical Modification,Concentration/Focus,"$2,001+",Mid-size (50–499),Technology,8.3,43,0,1
Sensory (Vision/Hearing),Leave of Absence,Vision,$1–$500,Large (500+),Manufacturing,3.3,28,1,0
Musculoskeletal,Leave of Absence,Communication,$0 (No Cost),Small (<50),Healthcare,1.0,16,2,1
Musculoskeletal,Physical Modification,Stamina/Endurance,$0 (No Cost),Large (500+),Healthcare,2.3,15,2,0
Musculoskeletal,Assistive Technology,Communication,$1–$500,Mid-size (50–499),Government/Public Sector,4.3,30,2,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Manufacturing,8.7,23,0,1
Chronic Illness,Physical Modification,Communication,$1–$500,Mid-size (50–499),Finance/Insurance,0.6,5,1,1
Psychiatric,Ergonomic Equipment,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,10.4,11,0,0
Cognitive,Assistive Technology,Mobility,"$501–$2,000",Large (500+),Retail/Hospitality,0.5,30,2,1
Psychiatric,Physical Modification,Stamina/Endurance,$0 (No Cost),Mid-size (50–499),Government/Public Sector,0.5,8,0,1
Cognitive,Assistive Technology,Communication,"$2,001+",Small (<50),Technology,1.3,47,0,0
Psychiatric,Leave of Absence,Concentration/Focus,$0 (No Cost),Small (<50),Healthcare,5.8,6,0,1
Musculoskeletal,Ergonomic Equipment,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,0.6,20,0,1
Chronic Illness,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Education,11.8,39,1,1
Psychiatric,Flexible Scheduling,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Education,5.9,10,1,1
Musculoskeletal,Assistive Technology,Stamina/Endurance,$1–$500,Mid-size (50–499),Retail/Hospitality,0.9,8,2,1
Musculoskeletal,Assistive Technology,Concentration/Focus,"$2,001+",Mid-size (50–499),Government/Public Sector,1.1,34,2,1
Psychiatric,Assistive Technology,Vision,$0 (No Cost),Large (500+),Healthcare,0.8,44,0,1
Sensory (Vision/Hearing),Flexible Scheduling,Mobility,"$501–$2,000",Large (500+),Retail/Hospitality,3.4,21,0,1
Chronic Illness,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Large (500+),Finance/Insurance,6.0,18,1,1
Chronic Illness,Assistive Technology,Vision,$1–$500,Large (500+),Healthcare,1.0,6,1,1
Musculoskeletal,Assistive Technology,Mobility,$0 (No Cost),Large (500+),Government/Public Sector,1.2,26,1,1
Neurological,Physical Modification,Communication,$0 (No Cost),Mid-size (50–499),Technology,2.4,4,1,1
Psychiatric,Leave of Absence,Hearing,$1–$500,Large (500+),Healthcare,0.5,59,0,0
Psychiatric,Physical Modification,Hearing,$1–$500,Small (<50),Healthcare,14.0,22,1,0
Psychiatric,Leave of Absence,Dexterity,$0 (No Cost),Mid-size (50–499),Technology,0.5,11,0,1
Cognitive,Physical Modification,Concentration/Focus,"$2,001+",Large (500+),Healthcare,2.7,15,2,1
Chronic Illness,Assistive Technology,Stamina/Endurance,$1–$500,Mid-size (50–499),Healthcare,3.6,27,1,1
Chronic Illness,Physical Modification,Hearing,$0 (No Cost),Small (<50),Technology,2.1,17,0,1
Neurological,Flexible Scheduling,Hearing,$1–$500,Mid-size (50–499),Government/Public Sector,8.7,24,1,1
Neurological,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Finance/Insurance,1.9,10,1,1
Neurological,Assistive Technology,Communication,$0 (No Cost),Large (500+),Manufacturing,1.9,52,2,1
Neurological,Policy Change / Exemption,Mobility,$1–$500,Mid-size (50–499),Technology,4.0,15,2,1
Musculoskeletal,Physical Modification,Concentration/Focus,$0 (No Cost),Small (<50),Finance/Insurance,2.8,3,1,1
Psychiatric,Flexible Scheduling,Dexterity,$0 (No Cost),Mid-size (50–499),Finance/Insurance,4.4,18,0,1
Psychiatric,Physical Modification,Mobility,$1–$500,Mid-size (50–499),Government/Public Sector,0.9,13,0,1
Cognitive,Remote Work / Telework,Mobility,$0 (No Cost),Small (<50),Finance/Insurance,2.9,50,0,1
Neurological,Leave of Absence,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,2.3,11,1,1
Cognitive,Leave of Absence,Communication,"$501–$2,000",Mid-size (50–499),Retail/Hospitality,2.3,17,1,1
Psychiatric,Physical Modification,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,1.6,28,0,1
Neurological,Physical Modification,Communication,$1–$500,Mid-size (50–499),Manufacturing,2.7,37,0,1
Psychiatric,Remote Work / Telework,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Education,2.1,62,0,1
Musculoskeletal,Assistive Technology,Hearing,$1–$500,Large (500+),Retail/Hospitality,19.9,12,3,1
Psychiatric,Policy Change / Exemption,Concentration/Focus,$0 (No Cost),Mid-size (50–499),Government/Public Sector,9.9,57,0,0
Psychiatric,Leave of Absence,Communication,"$2,001+",Small (<50),Retail/Hospitality,1.1,48,0,0
Cognitive,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,0.5,13,0,1
Musculoskeletal,Remote Work / Telework,Concentration/Focus,$1–$500,Mid-size (50–499),Education,0.5,12,1,1
Neurological,Flexible Scheduling,Mobility,$0 (No Cost),Small (<50),Education,1.5,32,0,0
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Large (500+),Government/Public Sector,3.3,24,1,1
Musculoskeletal,Flexible Scheduling,Concentration/Focus,$0 (No Cost),Small (<50),Retail/Hospitality,3.3,32,1,1
Neurological,Remote Work / Telework,Communication,$1–$500,Large (500+),Education,2.4,18,1,1
Psychiatric,Ergonomic Equipment,Stamina/Endurance,"$2,001+",Large (500+),Government/Public Sector,11.0,25,2,1
Cognitive,Assistive Technology,Concentration/Focus,$0 (No Cost),Large (500+),Healthcare,8.4,22,2,1
Chronic Illness,Remote Work / Telework,Communication,$0 (No Cost),Large (500+),Healthcare,10.6,32,2,1
Sensory (Vision/Hearing),Flexible Scheduling,Stamina/Endurance,$0 (No Cost),Small (<50),Government/Public Sector,0.7,11,0,1
Musculoskeletal,Remote Work / Telework,Mobility,$0 (No Cost),Large (500+),Manufacturing,0.7,27,0,1
Psychiatric,Leave of Absence,Mobility,"$501–$2,000",Mid-size (50–499),Finance/Insurance,6.0,61,2,0
Cognitive,Remote Work / Telework,Concentration/Focus,"$501–$2,000",Mid-size (50–499),Government/Public Sector,0.6,59,0,1
Musculoskeletal,Leave of Absence,Mobility,"$501–$2,000",Mid-size (50–499),Technology,5.7,29,2,1
Psychiatric,Leave of Absence,Communication,$0 (No Cost),Small (<50),Healthcare,0.5,11,1,1
Musculoskeletal,Flexible Scheduling,Hearing,$0 (No Cost),Small (<50),Government/Public Sector,3.4,81,1,1
Chronic Illness,Physical Modification,Hearing,$1–$500,Small (<50),Finance/Insurance,0.5,32,1,1
Sensory (Vision/Hearing),Ergonomic Equipment,Hearing,$0 (No Cost),Small (<50),Education,1.5,76,0,1
Sensory (Vision/Hearing),Remote Work / Telework,Communication,$1–$500,Small (<50),Technology,1.6,33,2,1
